item_id,review
3390508,"13일 주문
26일 배송시작
28일 수령
이었습니다
배송이 많이 많이 아쉬웠지만 핏자체는 맘에듭니다
생각보다 소재자체가 힘이없어서 약간 힘있는 소재 찾으시는 분들은 고민해보셔야할것같아요"
991340,1507 양말 신다가 이걸로 바꿔봤는데 무탠다드가 더 만족스러워요.
991340,1507 양말도 신어보고 무탠다드 양말도 신어봤는데 전 개인적으로 무탠다드가 더 만족스럽네요
3378514,150대정도의 키분들은 얼른 사셔야 해요 저처럼 키작으신분들은 이 가격에 이핏이면 정말 갓성비입니다????
2700048,150초반은 발목까지 와여 질질 안 끌어서 다행이라 해야할 지 ...!!! 세탁소에서 기장 수선만 맡기려구영 옷은 따땃하고 보들보들하고 전혀 저렴해보이지 않아요 만족만족 ~!! 다만 먼지가 조금 잘 붙는데 요건 관리만 잘 해주면 될 듯
1168906,"150후반?아님 160 그쯤인데
26 예쁘게 맞아욤^_____^"
3390508,150후반대에 아우터 길이 적당했으며 은근히 바람도 막아주고 따뜻했습니다!
854337,153에 L시켰는데 길이만큼 품이 그렇게 크진 않아요 빳빳하고 조ㅎ아용
3463298,153인 저에겐 좀 많이 컸어요 근데 건조기 두번정도 돌려주니까 작아짐 ^3^ 이쁘고 줄이 좀 짧아서 세탁기에 넣어ㅛ다 꺼내면 줄이 사라질수도 있음
2108160,"154기준 S가 딱 예쁘지만 안에 후드티를 입기에는 좀 작아요~
그리고 진짜 짱 따뜻하고 가볍고 매우 편안합니다*^-^*"
1567317,"155 여자이고 L구매 했어요

옷 진짜 예뻐요! 요즘 공부하러 갈때 입는다고 샀어요 싸게 구매해서 만족해용 저처럼 편안하게 입는걸 원하시면 L 추천드랴요! 엉덩이도 딱 덮어서 여성분들이 원하는 핏 나와욧?( ? )? 그리고 주머니에 지퍼가 있어서 물건 안빠질거 같아요"
2112059,155/47 허리 조절할수 있어서 편하고 길이도 적당해요
2700048,"155cm기준 기장 발목 조금 위까지 와요! 저는 줄이려구요 ㅜ
확실히 보풀도 안생기고 질 좋아요!
조금 무겁긴 한데 핏도 그렇고 맘에듭니당??"
1149328,"155에 42-~45정도 됩니다. 당연히 완전 클줄알았는데 오히려 타이트하게 딱맞는 느낌이라 놀랐어요
옷 품질 완전 좋은데 밑위가 짧아서 눈물나요"
1618312,"156/49 기준 S사이즈 허벅지 살짝 가렵니다
안에 치마를 다 덮는 길이는 원했는데 그럴려면 치마가 많이 짧아야할거 같아요.? 품이나 어깨, 길이는 딱 적당해서 이뻐요.?.?"
2149254,"157 기준 엉덩이 다 덮음
생각보다 안 줄어들고 안 늘어남 근데 계속 빠니까 자글자글해지긴 함
가격 대비 가성비 굿!"
4403731,"157 이고
제 키랑 비슷한 분들 저정도 길이 옵니다!
핏(품쪽)은 좀 어벙벙한 핏이더라구요 조금 슬림하게(?) 잡아줬어도 더 이뻤을듯ㅋㅋ

근데 품이 넉넉핏이라 증말 편하게 입기에는 딱 좋습니다!
데일리룩, 출근룩 강츄.. 레드만 하기엔 다른색도 탐나는게 많아서
블루까지 같이함 ??

후기들대로 두께도  도톰해서 따수워요! 재질도 가성비 뛰어나요!
할인기간 잘 걸리거나 타임세일 이런거 맞춰서 사면 진짜 걍 개이득 그 자체일듯 ㅎ.ㅎ"
3771089,157-159 동생 선물류 줬는데 마음에 들어하네용
2112059,157에 s사이즈 샀는데 생각보다 오버핏은 아니에요 그래두 이뻐요
750908,"158 / 58 하체 긴편 / 2달 후기

알바 용으로 하나 샀는데 일단 jonna 편함 
그냥 편한 건 me 친 듯 근데 문제는 먼지가 많이 붙고 뭐가 묻거나 하면 잘 안 떨어짐 이거 보고 딱 가격값 한다 생각함 

하지만 이거 빼면 다 ㄱㅊ아서 재구매 의사 99% 

지금 날씨에 입어도 ㄱㅊ아서 4계절 내내 잘 입을 듯 
그냥 추리닝 슬랙스 버전이라고 생각하면 됨 
가격대비 핏이랑 착용감 너무 좋긴 함 

이 가격에 이정도 핏이면 킹정ㅇ지 ~ !"
2700048,"158 기준 종아리 중간까지 오는 길이에요
전 롱기장을 원해서 딱 좋았습니다

두께도 두껍고 무거운 편이라서 보온성이 좋습니다
그리고, 퀄리티가 너무 좋아요 
역시 무탠다드 짱짱입니다"
2086653,"158 라지 사이즈 궁댕이 다 덮음
레이어드 하려고 샀는데 맘에 듭니다"
